run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay,on_time_percent,delayed_over_15_percent,severe_delay_percent,estimated_delayed_flights,estimated_severe_delay_flights
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,D,S,235,0,8,4.938272,44.444444,31.687243,6.17284,4.938272,3.703704,0.823045,0.0,0.0,0.0,3.292181,10.0,268,77.697842,10.0,76.131687,15.637861000000001,4.526749000000001,36.74897335,10.637860150000002
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,DUNDEE,LOGANAIR LTD,A,S,2,0,0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1,100.0,0.0,50.0,50.0,0.0,1.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,DUNDEE,LOGANAIR LTD,D,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.0,24.0,0.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,EASTERN AIRWAYS,D,C,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,100.0,13.0,0.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,EDINBURGH,EASYJET UK LTD,A,S,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,EDINBURGH,EASYJET UK LTD,D,S,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,A,S,5,0,1,0.0,0.0,16.666667,33.333333,16.666667,16.666667,0.0,0.0,0.0,0.0,16.666667,37.0,3,33.333333,18.0,16.666667,66.666667,16.666667,3.33333335,0.8333333500000001
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,D,S,2,0,0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,48.0,3,16.666667,90.0,0.0,100.0,50.0,2.0,1.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,GLASGOW,EASYJET UK LTD,A,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,50.0,33.0,0.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,GLASGOW,LOGANAIR LTD,A,S,4,0,0,0.0,0.0,75.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1,0.0,42.0,75.0,25.0,0.0,1.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,GLASGOW,LOGANAIR LTD,D,S,2,0,0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,107.0,1,100.0,0.0,0.0,100.0,100.0,2.0,2.0
